Name,Steps,HeartRate,Calories,Distance,Duration,Age
Beth Payne,8450.0,,545.0,12.68,99.0,62.0
Mark Thompson,12865.0,,879.0,7.31,107.0,
Tammy King,16592.0,,,4.08,29.0,
Alexandra Dunn,1371.0,,145.0,13.31,9.0,
Christian Nelson,15286.0,158.0,707.0,2.62,59.0,37.0
Eric Santos,4029.0,68.0,503.0,2.45,39.0,23.0
Miguel Kim,8665.0,73.0,750.0,,41.0,50.0
Victoria Daniels,12587.0,155.0,485.0,4.26,41.0,49.0
Malik Smith,17726.0,113.0,860.0,6.74,,47.0
Megan Chan,7483.0,145.0,791.0,11.66,,
Gabriel Larson,11921.0,80.0,,10.64,110.0,
Heather Lewis,,80.0,,11.71,103.0,25.0
Bethany Russo,10127.0,143.0,218.0,4.97,,25.0
Paul Wheeler,3813.0,161.0,,4.14,75.0,36.0
Donald Lopez,12442.0,,290.0,1.92,59.0,61.0
Rickey Schultz,18151.0,,422.0,13.64,,
Bonnie Reese,6144.0,142.0,728.0,0.68,,40.0
Jeffrey Anderson,19587.0,,820.0,,90.0,38.0
James Collins,15895.0,174.0,139.0,3.65,53.0,
Timothy Sanchez,18679.0,107.0,248.0,14.85,41.0,
Jesse Hayes,7623.0,152.0,,13.04,104.0,55.0
Debra Johnson,3083.0,174.0,419.0,,58.0,49.0
Tina Thomas,5767.0,,798.0,12.85,69.0,49.0
Sherri Garcia,8177.0,122.0,305.0,7.71,52.0,61.0
Joshua Mcdonald,9662.0,174.0,,5.36,18.0,
Susan Woods MD,,93.0,449.0,,,38.0
Theresa Cook,8397.0,101.0,853.0,0.61,8.0,46.0
David Scott,15053.0,86.0,529.0,7.37,,64.0
Christopher Patrick,,137.0,,3.8,29.0,28.0
Christopher Roach,6674.0,178.0,451.0,10.67,,
Juan Boyd,10655.0,113.0,834.0,9.95,,60.0
Kathryn Hale,4306.0,111.0,,9.62,,22.0
Laura Hill,2158.0,113.0,855.0,8.14,95.0,37.0
George Johnson,5947.0,148.0,648.0,7.76,100.0,
Molly Miller,10389.0,122.0,163.0,2.12,,38.0
Brian Tanner,7599.0,126.0,132.0,10.63,48.0,46.0
Karen Dudley,14428.0,110.0,415.0,1.68,,37.0
Rebecca Johnson,,132.0,174.0,14.69,87.0,33.0
Christopher Vasquez,1776.0,66.0,,6.97,85.0,40.0
Vernon Wagner,8271.0,78.0,,,97.0,62.0
Felicia Chen,8470.0,,,5.66,,58.0
Anthony George DVM,,141.0,747.0,11.31,,38.0
Philip Allen,14021.0,66.0,184.0,9.42,,
Joshua Griffin,5333.0,160.0,285.0,1.07,,29.0
Mario Fisher,12894.0,176.0,346.0,10.96,65.0,52.0
Carol Hamilton,10089.0,145.0,276.0,9.34,,
Kristy Morgan,9976.0,80.0,163.0,6.05,11.0,45.0
Karen Thomas,,,103.0,8.77,,61.0
James Mueller,3151.0,103.0,761.0,11.49,103.0,48.0
Gavin Donaldson,13261.0,115.0,207.0,14.79,6.0,27.0
Mathew Ward,3559.0,167.0,603.0,12.83,39.0,52.0
Ashley Hoover,7853.0,125.0,223.0,,19.0,31.0
Andrea Johnson,,114.0,616.0,5.64,105.0,46.0
Chase Cruz,15034.0,72.0,,5.1,25.0,29.0
Heather Alvarez,9555.0,,342.0,14.86,66.0,
Sarah Randall,8583.0,,837.0,,103.0,50.0
Mario Castillo,17638.0,80.0,689.0,3.98,49.0,20.0
John Brown,15708.0,149.0,563.0,11.1,101.0,22.0
Alicia Frazier,,103.0,710.0,12.88,112.0,
Kelly Ramirez,12121.0,,138.0,11.34,13.0,50.0
Matthew Underwood,13595.0,,521.0,2.73,31.0,24.0
Nicholas Williams,,65.0,504.0,8.67,88.0,39.0
Robert Holmes,1856.0,84.0,,2.98,12.0,47.0
Jonathan Stewart,,,194.0,2.38,21.0,41.0
Marco Mcmahon,,104.0,229.0,5.78,13.0,36.0
Sara Estrada,9793.0,,268.0,,43.0,
Jordan Brewer,19848.0,143.0,,12.8,80.0,58.0
Jose Jacobs,,84.0,101.0,8.72,72.0,44.0
Kevin Thomas,15345.0,171.0,348.0,12.12,82.0,33.0
Derek Thomas,3710.0,,859.0,,89.0,
Eric Vasquez,,87.0,377.0,5.76,55.0,
Brian Decker,3361.0,178.0,604.0,10.51,,45.0
Traci Ortiz,11151.0,129.0,,13.45,48.0,
Anna Pierce,9019.0,150.0,,1.7,11.0,54.0
Marissa Medina,,100.0,114.0,,72.0,22.0
Jamie Miller,3271.0,136.0,818.0,6.85,19.0,30.0
Jennifer Taylor,11374.0,120.0,890.0,11.61,47.0,
Jason Frederick,1311.0,113.0,,13.54,88.0,
Cameron Preston,14970.0,155.0,,1.44,,
Steven Kelly,7146.0,178.0,372.0,11.42,66.0,53.0
Melissa Davis,17045.0,,669.0,7.23,79.0,22.0
Mary Williams,6858.0,84.0,458.0,,61.0,50.0
Alexandra Brown,6933.0,71.0,290.0,14.85,116.0,
Kyle Waller,15752.0,,725.0,,110.0,42.0
Maria Lopez,15146.0,,865.0,8.13,9.0,
Susan Baldwin,7304.0,107.0,744.0,13.94,21.0,62.0
Ronald Mills,3958.0,110.0,779.0,3.24,9.0,46.0
Peter Hodges,5426.0,95.0,,1.74,90.0,51.0
Brittney Andrews,16441.0,174.0,545.0,2.88,75.0,52.0
Robert Hoffman,,122.0,733.0,11.12,,57.0
Terry Barker,17819.0,81.0,214.0,5.21,105.0,60.0
Shelby Gallegos,15545.0,170.0,656.0,,118.0,24.0
Douglas Callahan,19046.0,116.0,321.0,,97.0,38.0
Tina Walters,18197.0,177.0,455.0,12.56,66.0,49.0
Christina Williams,11800.0,85.0,587.0,4.72,,46.0
Lindsay Mclean,8998.0,164.0,,0.9,72.0,
Laura Smith,15794.0,165.0,601.0,10.28,83.0,30.0
Timothy Russell,12007.0,97.0,359.0,13.13,14.0,52.0
Jeremy Perez,12439.0,,192.0,8.83,75.0,32.0
Mrs. Julia Kemp,,158.0,194.0,12.03,,46.0
Louis Fuller,,169.0,284.0,11.23,49.0,
Cindy Hoover,5629.0,63.0,,1.94,59.0,31.0
Larry Schmidt,11740.0,78.0,552.0,5.38,35.0,56.0
David Clark,,111.0,357.0,1.81,73.0,32.0
Timothy Dougherty,12750.0,176.0,719.0,,63.0,63.0
Adam Molina,3700.0,152.0,512.0,,,48.0
Angela Vaughn,2267.0,129.0,643.0,9.66,49.0,
Gene Colon,10364.0,139.0,316.0,5.34,19.0,
Heather Johnson,12675.0,100.0,,2.32,41.0,52.0
Nicole Atkins,14863.0,74.0,256.0,2.24,18.0,19.0
Brittney Mahoney,15684.0,140.0,180.0,,65.0,
Jessica Rios,15061.0,,309.0,11.4,12.0,64.0
Michael Barton,8067.0,,329.0,,35.0,49.0
David Miller,,147.0,682.0,,90.0,40.0
Jeremy Smith,17851.0,128.0,841.0,10.61,,
Scott Murray,2124.0,174.0,343.0,,62.0,31.0
Michael Taylor,14132.0,123.0,736.0,12.07,16.0,46.0
Tyler Davis,1657.0,60.0,568.0,9.26,76.0,45.0
Caitlyn Aguilar,5821.0,92.0,494.0,8.16,53.0,41.0
Charles Stone,2219.0,150.0,549.0,9.25,18.0,
Monica Callahan,2572.0,73.0,891.0,6.85,39.0,30.0
Laura Jones,18032.0,,289.0,12.01,17.0,
Paul Randolph,6256.0,75.0,153.0,9.51,8.0,21.0
Kelly Diaz,3810.0,169.0,176.0,7.24,23.0,50.0
John Thompson,13997.0,92.0,231.0,3.52,77.0,38.0
Stanley Tate,1038.0,75.0,,4.43,64.0,45.0
Elizabeth Haney,5783.0,,469.0,9.87,51.0,54.0
Melissa Bishop,12373.0,66.0,,13.94,5.0,35.0
Michael Alvarez,8160.0,131.0,390.0,2.52,117.0,19.0
Luke West,4643.0,84.0,402.0,,45.0,54.0
Jessica Peterson,,112.0,518.0,,33.0,62.0
Michael Rodriguez,4972.0,80.0,410.0,14.53,113.0,53.0
Amanda Banks,8691.0,140.0,767.0,0.83,82.0,
Ashley Davis,18198.0,,508.0,,,50.0
Brianna Cooper,,165.0,101.0,7.7,,22.0
Sarah Bennett,,126.0,775.0,,57.0,54.0
Kimberly Allen,,61.0,292.0,1.51,,62.0
Sandy Johnson,4286.0,140.0,856.0,,108.0,
Jack Smith,3367.0,178.0,246.0,12.71,110.0,38.0
Audrey Bailey,6298.0,65.0,436.0,3.03,78.0,19.0
Christopher Oneill,12264.0,73.0,585.0,14.91,14.0,21.0
Heather Rosales,,,303.0,4.26,30.0,21.0
Jeffrey Perez,14929.0,96.0,192.0,3.09,59.0,28.0
Angela Brown,,,626.0,11.65,,51.0
Brandon Turner,,67.0,437.0,,65.0,28.0
Michael Davis,19141.0,74.0,481.0,13.93,102.0,
Seth Jacobs,2246.0,140.0,392.0,9.61,,
John Norton,,123.0,137.0,6.59,61.0,44.0
Oscar Reese,17312.0,,251.0,,54.0,44.0
Gary Vargas,,147.0,,,29.0,55.0
Lisa Murray,19224.0,168.0,679.0,,51.0,23.0
Tony Douglas,6107.0,130.0,262.0,14.61,99.0,54.0
Cynthia Neal,9311.0,140.0,,1.14,,
Mary Walton,16052.0,,,14.11,,
Bill Rose,,,883.0,4.54,45.0,62.0
Elizabeth Jones,18916.0,122.0,645.0,9.08,107.0,49.0
Jason Salas,19727.0,92.0,463.0,6.5,32.0,45.0
John Macias,,179.0,459.0,1.92,,53.0
Jason Schaefer,,126.0,625.0,11.33,37.0,19.0
Levi Davis,3857.0,74.0,625.0,,93.0,42.0
Joseph Walker,,73.0,340.0,6.12,110.0,42.0
Jeffrey Smith,16724.0,,,2.45,49.0,57.0
Brittany Weaver,15853.0,155.0,,7.43,44.0,59.0
Dwayne Graham,19354.0,79.0,,5.07,,23.0
Jessica Saunders,4628.0,79.0,,8.38,22.0,63.0
Mitchell Fry,,155.0,335.0,11.74,5.0,
Marc Wilson,19067.0,160.0,800.0,,76.0,
Nicholas Rodgers,9349.0,97.0,808.0,,113.0,25.0
Shane Blair,17719.0,142.0,294.0,10.14,111.0,20.0
Joseph Berry,5995.0,88.0,461.0,10.74,58.0,
Crystal Harrison,7737.0,,468.0,8.03,33.0,23.0
Robert Maxwell Jr.,,172.0,186.0,5.77,32.0,58.0
John Mendoza,17330.0,90.0,443.0,14.25,9.0,
Marilyn Sherman,16645.0,95.0,,3.6,,63.0
David Moore,,94.0,128.0,13.46,104.0,
Justin Gould,11938.0,78.0,,5.38,89.0,60.0
Victoria Baker,,83.0,,14.03,39.0,54.0
