Name,Steps,HeartRate,CaloriesBurned,HoursOfSleep,DistanceWalked,ActivityType
Jeanne Benitez,14291,63.8,1741.4,7.8,14.22,Cycling
Christopher Parker,7587,77.5,1893.3,5.7,13.82,Cycling
Mary Miller,1646,74.3,2150.9,6.3,3.18,Resting
Sean Duncan,11405,61.7,1461.0,9.8,14.64,Cycling
Sheila White,11696,75.4,2690.8,4.5,14.15,Walking
Sherry Hall,8864,74.7,2405.4,7.0,4.05,Walking
Justin Thompson,18468,78.1,2027.3,9.1,4.93,Cycling
Mr. Zachary Knight,9115,82.5,2868.6,4.8,14.59,Walking
Justin Brown,16929,62.1,2014.6,8.4,10.77,Walking
Nathaniel Rogers,5841,55.3,1634.7,9.1,10.58,Cycling
David Hood,11181,76.8,2944.6,7.5,7.62,Running
Andrew Jenkins,8406,61.8,2200.3,8.2,8.6,Walking
Kim Thompson,6516,76.2,2563.8,7.3,3.63,Walking
Felicia Brown,19100,59.0,2109.9,7.7,10.94,Running
John Osborne,13828,88.2,2033.9,9.1,10.14,Walking
Jessica Lucas,13199,69.3,1831.5,5.8,12.36,Running
Erik Glenn,19457,76.0,2382.7,6.7,10.02,Cycling
Billy Meza,12837,82.4,2799.6,9.4,4.49,Walking
Anthony Jensen,18030,81.7,2869.5,9.7,13.48,Resting
Renee Lopez,7336,82.7,1488.5,4.3,5.93,Walking
Brenda Sims,9316,70.2,2489.2,9.1,4.2,Cycling
Tracy Hawkins,18401,73.1,2419.3,5.6,6.84,Resting
Mr. John Chung,4574,84.7,2070.3,4.3,9.99,Running
Daniel Spears,10060,74.7,1750.3,9.1,10.28,Cycling
Michael Medina,19673,74.1,2110.1,8.9,8.66,Cycling
Chris Armstrong,19772,74.3,2370.0,9.4,7.25,Running
Victoria Pittman,8318,57.0,1884.8,7.0,11.93,Walking
Tony Thompson,17064,90.9,1860.2,6.5,10.9,Cycling
Edward Tate,11523,103.2,2027.9,6.6,12.29,Running
Mr. Anthony White,1380,68.6,2124.4,9.2,3.07,Running
Scott Williamson,7276,68.7,2861.2,9.5,9.39,Resting
Keith Ramos,15830,81.5,2086.2,7.0,4.98,Resting
Kimberly Carter,19110,78.7,2316.3,5.4,13.44,Walking
Maria Mullen,15859,72.5,2520.4,6.0,12.29,Running
Patrick Mcdaniel,10874,84.6,1507.4,5.0,6.2,Running
Dawn Russo,17108,84.9,1915.5,7.8,3.47,Running
Megan Blackwell,11656,75.6,2495.2,6.4,7.76,Cycling
Mark Jones,13690,76.0,1286.1,7.7,6.04,Resting
Calvin Hoffman,19626,81.2,2107.1,4.1,13.99,Walking
Jennifer Hernandez,12904,70.3,2903.1,4.5,8.21,Cycling
Chase Evans,11185,68.7,2619.6,9.3,10.59,Cycling
Clayton Stokes,7548,62.7,2290.5,8.7,6.65,Resting
Matthew Washington,7436,68.3,2318.8,5.5,8.57,Cycling
