Name,Age,Distance,Duration,Steps,HeartRate,Calories
Jason Ortiz,59,3.0,34.0,2323.0,163.0,295.0
Sherry Johnson,27,9.0,81.0,13161.0,91.0,420.0
Robin Tran,18,9.0,81.0,13161.0,91.0,420.0
Katie Gonzalez,47,4.0,51.0,10058.0,118.0,233.0
Christopher Hampton,28,6.0,95.0,14349.0,113.0,
Justin Dominguez,42,4.0,35.0,8351.0,,286.0
Thomas Freeman,52,5.0,15.0,1041.0,129.0,578.0
David Hall,40,2.0,30.0,7591.0,90.0,543.0
Timothy Jones,34,8.0,60.0,11532.0,106.0,330.0
Daniel Lynn,61,5.0,45.0,1872.0,62.0,
Johnny Fields,49,7.0,32.0,,136.0,
Sean Stephens,49,,32.0,9048.0,114.0,
Abigail Hobbs,45,8.0,53.0,6220.0,72.0,251.0
Heather Torres,24,9.0,92.0,18658.0,153.0,821.0
Stephen Marks,57,3.0,26.0,3069.0,109.0,126.0
Barbara Freeman,36,7.0,76.0,6631.0,138.0,342.0
James Gregory,39,3.0,76.0,7143.0,,
Maria Castro,29,2.0,47.0,11605.0,122.0,508.0
Joshua Gutierrez,42,7.0,42.0,10353.0,109.0,638.0
Tiffany Gonzalez,32,6.0,61.0,10849.0,102.0,574.0
Tammy Pruitt,29,4.0,68.0,15503.0,141.0,380.0
Thomas Cantrell,48,7.0,38.0,,97.0,471.0
Connie Trujillo,34,3.0,44.0,8897.0,115.0,404.0
Anthony Dyer,19,14.0,54.0,15825.0,113.0,444.0
Susan Lynch,27,5.0,45.0,9809.0,119.0,663.0
Lisa Bush,57,4.0,29.0,4656.0,,582.0
Robert Lewis,26,10.0,,13533.0,,509.0
Kelly Dean,20,5.0,70.0,19417.0,148.0,805.0
Nicholas Spencer,56,1.0,10.0,1173.0,127.0,662.0
Angela Jackson,57,3.0,38.0,1276.0,,553.0
Robin Short,38,8.0,27.0,10512.0,70.0,431.0
Paul Ritter,48,3.0,43.0,9182.0,150.0,222.0
Daniel Herring,64,4.0,37.0,3396.0,120.0,
Elizabeth Adams,60,0.0,24.0,4898.0,116.0,430.0
Nicole Adams,46,2.0,73.0,8683.0,141.0,205.0
Kenneth Mendez,24,9.0,53.0,15702.0,126.0,405.0
James Kemp,60,1.0,43.0,4805.0,107.0,420.0
Roberto Mcdowell,18,1.0,43.0,4805.0,107.0,420.0
Susan Mahoney,45,3.0,42.0,6949.0,100.0,411.0
Steven Murphy,27,11.0,70.0,12033.0,,473.0
Megan Soto,45,4.0,36.0,,131.0,503.0
Eileen Hall,36,7.0,54.0,10312.0,124.0,
Vincent Evans,53,0.0,35.0,3745.0,178.0,221.0
Adam Peters,23,9.0,115.0,17672.0,139.0,697.0
Timothy West,26,6.0,49.0,9665.0,155.0,463.0
